"SongID","F0525","F1152","ORIGINAL-TEXTURE-Musical Layers (Mean)","F1166","F0133","F0136","F0507","ORIGINAL-TEXTURE-Musical Layers (Std)","F0404","ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Notes in Cents (Mean)","F0945","F1151","F1497","F0529","ORIGINAL-TEXTURE-State Transitions ML1 -> ML0 (Per Sec)","F0151","F1194","F0121","F0927","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Extent (Std)","ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Higher Notes Coverage (C4+)","F0438","F1489","F0247","F0021","F0246","F1089","F0469","ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Notes in Cents (Max)","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Rate (Kurtosis)","F0772","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Base Freq (Kurtosis)","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato to Non Vibrato Notes Ratio","F0909","F1071","F0466","F1077","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Base Freq (Min)","F0010","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Length (Kurtosis)","F0437","F0013","F0526","VOICE-TEXTURE-State Transitions ML0 -> ML1 (Per Sec)","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Rate (Std)","F0778","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Base Freq (Std)","F0109","F1550","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Extent (Kurtosis)","ORIGINAL-TEXTURE-Musical Layers (Max)","F1065","ORIGINAL-TEXTURE-ML1-Monophonic Texture (Percentage)","F0946","F1475","F0113","F0753","F1053","F0407","F1059","F0110","ORIGINAL-TEXTURE-State Transitions ML2 -> ML3 (Per Sec)","F0770","F1441","ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Direction (Up)","F0958","F0911","F0406","F0917","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Length (Skewness)","ORIGINAL-EXPRESSIVE_TECHNIQUES-ART-Other Notes Duration (Mean)","F0155","F0891","ORIGINAL-TEXTURE-State Transitions ML1 -> ML2 (Per Sec)","F1537","ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Extent (Std)","F0116","F1483","F1096","F0776","ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Notes in Cents (Min)","F1419","F1090","F1486","F1469","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Higher Notes Coverage (C4+)","F1455","ORIGINAL-VAT-Probability of Creaky Voice (Skewness)","F0897","F0251","F1574","F0011","F0905","F0899","ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Length (Std)","F0328","F1101","F0782","F0923","ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Slope (Std)","Quadrant"
"MT0000202045",3.9276,21.621,1.6568,1246500,0.84623,4.7303,0.21773,0.87682,0.25767,5212.8,0.40179,23.743,1.3078,7.7524,1.1307,0.07746,4.488,1204.4,0.464,16.815,0.36436,0.83581,0.1718,0.038983,3.3108,0.4258,5.4984,0.29043,6019.1,1.5,0.052172,1.5,0.078947,0.47735,4.0692,0.067918,4.1475,4497.4,266.14,1.5,5.4361,3983.4,1.4012,1.7634,1.1201,0.059101,259.11,0.15904,0.26424,1.5,5,3.8833,0.34131,0.17208,0.10135,0.084788,0.17668,3.3075,1.1748,3.5043,0.19856,1.8291,0.31788,-0.29045,0.66667,0.17391,-0.012761,3.9944,-0.084756,0.57516,0.27035,0.537,0.52565,2.6937,0.0047275,328.8,1.4308,1.7802,2.6591,0.47699,3987.1,0.31958,2.4407,1.5022,-0.83603,0.72358,-0.17819,-0.48557,0.50026,0.25872,-0.83692,7.7822,-0.035682,-0.03768,0.055396,0.70076,6.0604,0.62509,0.00020039,2578.8,"Q4"
"MT0000203193",5.9188,13.368,2.9095,167280,0.94346,5.3588,0.065318,1.3985,0.094219,4694.2,0.41665,15.818,1.7888,10.026,0.26605,0.072678,10.433,767.41,0.42501,19.178,0.16605,1.0838,0.33086,0.047107,2.7423,0.42535,5.366,0.45975,5504.4,1.7461,0.06029,2.3581,0.15556,0.44315,4.4362,0.0928,4.6514,4671.4,116.41,2.1231,6.1527,1139.3,1.4396,1.231,1.0491,0.055941,226.46,0.12687,0.29872,2.2477,8,3.941,0.11699,0.15954,0.086128,0.057997,0.12189,3.3697,1.0723,3.4711,1.3097,2.0951,0.31645,-0.1673,0.6,0.16938,0.11401,3.2139,-0.030102,0.36873,0.40967,0.55494,0.49907,0.99768,0.0031588,201.47,1.4276,1.1941,2.3914,0.41375,3614.4,0.21417,2.1348,2.2315,-0.64242,0.63113,0.83607,-0.26969,0.51159,0.27233,-0.48897,2.0676,0.058463,-0.07483,0.082867,0.77943,6.0561,0.60546,0.23061,1631.5,"Q4"
"MT0000203272",4.0662,28.769,1.7727,895710,0.54531,3.2875,0.19564,0.96631,0.13755,5083.4,0.39031,13.845,0.38773,7.8758,1.0297,0.047644,3.2383,528.87,0.45671,10.437,0.30517,0.5413,0.13906,0.050165,2.9001,0.40071,5.2788,0.27889,5947,1.5,0.051463,1.5,0.10345,0.45613,4.1703,0.056483,4.4163,4491.2,178.2,1.5,4.4356,1404.3,1.3083,2.3002,0.60656,0.052483,381.25,0.13064,0.22586,1.5,5,4.3097,0.33433,0.15606,0.10546,0.13581,0.21294,3.3051,1.2512,3.5943,0.1754,2.128,0.29446,-0.56824,0,0.15651,0.10356,3.8387,0.092624,0.70711,0.2113,0.64422,0.55688,3.1577,0.007325,0,1.0602,2.3881,2.3335,0.42408,4492.9,0.18072,2.0264,1.5895,-0.81925,0.32967,-0.66314,-0.40388,0.47642,0.2482,-0.96778,1.8304,-0.14448,0.14492,0,0.80614,5.6859,0.58779,0.028,0,"Q3"
"MT0000216849",1.3739,41.804,0.93185,3283300,0.25287,1.6405,0.34944,0.7227,0.12859,6421.3,0.54828,39.982,-0.57412,3.6804,0.76489,0.026596,1.9698,473.66,0.51577,15.829,0.53682,0.38028,0.056459,0.019226,3.9128,0.469,3.9968,0.14787,7530.1,1,0.037787,1,0.15385,0.53292,3.7045,0.038781,3.8503,4593.5,75.881,0,4.3242,485.36,0.82944,1.3308,0.71373,0.034266,423.26,0.070198,0.1727,1,3,3.5636,0.51255,0.12262,0.12286,0.38019,0.1904,3.0284,0.73631,3.1372,-0.2431,0.16628,0.43786,-1.8718,0.2,0.11035,-0.28737,2.1545,-0.33589,0,0.20027,0.78158,0.58929,1.3635,0.011998,145.02,0.051018,1.8056,1.5553,0.59294,5637.1,0.14513,1.3269,0.73233,-2.2848,0.5,-1.8465,-1.2171,0.54783,0.40472,-1.314,0.72294,-0.26089,-0.33434,0.075532,0.533,4.6385,0.73637,-0.27431,1628.7,"Q2"
"MT0000218346",5.1286,26.726,2.9328,588830,0.69735,4.4304,0.098821,1.121,0.088516,4857.8,0.43471,28.359,0.3182,8.8208,0.066512,0.056243,6.1064,712.93,0.48794,19.828,0.15991,0.94161,0.16029,0.035086,2.9429,0.44077,5.448,0.42873,5892.9,1.9525,0.049762,1.3105,0.17857,0.4917,4.1214,0.08698,4.6012,4356.3,83.004,2.4593,5.2952,724.37,1.3107,0.66542,1.0224,0.045231,311.99,0.11591,0.25585,2.5863,6,3.7147,0.071236,0.17078,0.086032,0.097763,0.15159,3.5005,1.0061,3.3495,0.38994,1.1972,0.33993,-0.8694,0.5,0.16306,-0.0046102,2.1988,-0.19874,0.49965,0.46085,0.6294,0.49257,0.56535,0.0081839,117.65,0.43721,1.264,2.3923,0.49145,3904.6,0.18852,2.4694,1.4235,-1.9838,0.45076,-0.32142,-0.46209,0.49809,0.31535,-0.90979,1.1957,0.081148,0.062761,0.065915,0.59215,6.3374,0.68287,-0.17396,2188.7,"Q4"
"MT0000235880",5.5095,23.299,2.4701,254070,0.46801,3.6624,0.072669,1.1933,0.050394,5363.6,0.37851,9.958,0.90462,8.4782,0.13359,0.041492,6.4675,294.01,0.4,15.332,0.34964,0.71586,0.24713,0.06341,2.1161,0.35797,5.6928,0.38503,5749,3.6537,0.054959,2.0527,0.23913,0.39484,4.9314,0.070488,4.6919,4519.8,116.1,5.1902,4.9416,1051.6,1.0659,1.0353,1.0376,0.045027,513.91,0.080112,0.2724,1.8709,7,4.2621,0.2185,0.19555,0.11843,0.085126,0.14809,3.8659,0.95773,4.2713,0.44326,2.0039,0.27295,-0.51809,0.66667,0.15588,0.14089,2.7952,0.35578,1.6378,0.48264,0.62875,0.50187,1.1355,0.0022306,92.284,1.5499,1.4686,3.6528,0.42013,4807.2,0.11598,2.6658,1.5442,-1.8468,0.47385,-0.78218,-0.89995,0.43543,0.19956,-0.99074,1.1559,-0.026975,0.10287,0.090806,0.77535,5.5209,0.60458,-0.023777,965.52,"Q4"
"MT0000249842",3.8377,32.756,2.4058,1306800,0.62936,3.1847,0.17203,1.047,0.15636,4142.4,0.49895,34.959,0.53961,7.638,0.23279,0.066251,4.6051,813.24,0.50251,10.477,0.10705,0.74672,0.16914,0.039062,4.4479,0.44697,4.4719,0.3774,6221.8,1.9969,0.055865,5.7151,0.22727,0.39427,3.8736,0.075084,4.7798,4100.2,118.8,2.3923,4.7213,1148.2,1.4514,1.3974,0.97062,0.054097,387.51,0.14074,0.25686,2.8152,7,3.5491,0.161,0.15243,0.079161,0.15198,0.17193,3.7509,1.2533,3.6946,-0.088732,2.3944,0.35922,-1.2773,0.14286,0.13591,0.41127,2.5754,0.14455,0.91122,0.25405,0.65828,0.54238,1.5298,0.0081912,95.953,0.88498,1.7527,1.9685,0.44761,3198.6,0.22505,1.7545,1.2342,-1.5728,0.14477,-0.51413,-0.58148,0.48378,0.28046,-1.1056,3.4621,0.12668,0.087626,0.084446,0.63839,4.7197,0.715,-0.19521,1247.3,"Q1"
"MT0000255724",4.5218,29.411,2.1587,803460,0.6372,2.9229,0.16588,0.94832,0.15516,4780.3,0.49636,29.469,0.3023,7.7188,0.26605,0.06033,4.9667,921.11,0.43465,20.431,0.16345,0.84234,0.17274,0.039469,3.1436,0.44269,4.5744,0.46459,5204.3,2.1503,0.057655,2.0045,0.17778,0.46406,4.1777,0.10259,4.4012,4518.2,95.771,2.3546,4.7363,868.07,1.5155,0.93159,0.93226,0.07008,243.9,0.13886,0.26798,2.4551,6,4.4563,0.23263,0.14893,0.078734,0.1736,0.17296,3.4348,1.2694,3.6764,0.7605,1.1972,0.35957,-1.4595,0.55556,0.14218,-0.0428,2.4822,-0.12922,0.85112,0.42287,0.68898,0.48014,1.0974,0.003357,68.012,1.1037,1.0211,2.0625,0.45729,4487.1,0.23933,2.1514,1.2836,-1.4201,0.27177,0.10392,0.13842,0.41815,0.27667,-1.1606,1.847,-0.13661,0.28999,0.043149,0.74731,5.2719,0.65105,0.015918,1707.1,"Q3"
"MT0000299291",3.5176,36.763,2.1454,1779700,0.51344,2.3708,0.23032,0.97403,0.18991,5312.5,0.47769,36.543,0.70661,7.0392,0.23279,0.04885,4.0921,828.3,0.45826,13.758,0.45255,0.78304,0.1009,0.027089,2.3075,0.45121,4.7268,0.25188,5695.5,1.9087,0.062445,2.3476,0.26667,0.45314,4.2681,0.075398,4.5239,4804.7,110.85,3.1345,4.2607,1459.5,1.2852,1.1645,1.1018,0.060859,296.91,0.11699,0.33002,2.1845,6,3.9802,0.23803,0.17264,0.092992,0.25885,0.19762,3.4073,1.0616,3.2837,0.33246,1.6961,0.34754,-1.1225,0.5,0.12766,-0.015839,2.5579,-0.037088,1.235,0.57801,0.69445,0.51171,1.5298,0.0014121,71.999,1.6663,1.6708,2.758,0.47673,4985.8,0.22585,2.1427,0.86334,-2.2092,0.64975,-0.40349,-2.2405,0.45061,0.32779,-1.2263,4.5499,0.27235,0.13865,0.081766,0.73545,4.5272,0.62019,0.089474,681.38,"Q3"
"MT0000300896",4.8891,15.394,2.1255,732340,0.26563,2.7792,0.16361,0.97511,0.080667,5487.4,0.19923,19.466,1.9374,7.8448,0.43233,0.03335,3.4074,274.62,0.30481,11.995,0.35414,0.62115,0.14128,0.051785,2.5416,0.39381,7.9992,0.30179,6016.8,1.701,0.030093,7.0189,0.26923,0.39331,5.2258,0.050146,6.8395,4146.8,121.89,4.2614,5.008,1488.6,0.92862,1.1645,0.68338,0.036358,429.51,0.096203,0.24527,3.1762,7,4.6869,0.25212,0.16648,0.077128,0.20493,0.15976,3.7644,0.837,3.8483,1.1315,1.6961,0.34113,-0.49786,0.71429,0.17778,0.185,2.592,0.29316,1.2845,0.47137,0.68409,0.43551,1.6961,0.0035419,44.624,1.7273,1.0364,3.9701,0.54923,4645.4,0.099711,2.8252,0.90608,-1.329,0.84105,-2.9433,-0.70025,0.40802,0.25316,-1.2549,3.9152,0.47483,0.50038,0.052305,0.82588,7.3158,0.66167,0.59104,1141.9,"Q3"
"MT0000315392",4.7627,24.43,2.0561,838250,0.74723,4.377,0.14283,1.206,0.17835,4329.8,0.418,25.461,1.2569,8.8747,0.49826,0.060859,6.0421,997.86,0.40314,11.153,0.0169,0.84189,0.25369,0.041948,2.6059,0.40137,5.1945,0.4453,5004.1,3.9992,0.072325,2.0821,0.2093,0.4572,4.6342,0.098449,4.5653,4123.1,181.84,1.5366,5.5499,1919.7,1.6169,1.3287,0.74182,0.073391,252.63,0.14457,0.25724,2.3039,6,4.0431,0.33436,0.17556,0.087455,0.091667,0.15226,3.4934,1.4132,3.5126,0.88379,1.6609,0.33513,-0.28755,0.375,0.16891,0.085675,2.7816,0.099158,0.0012365,0.33911,0.64777,0.52052,1.6941,0.0057155,161.03,1.991,0.94024,2.764,0.44483,3310.2,0.26902,2.2436,1.9517,-1.1329,0.15061,0.57708,-0.45281,0.49144,0.27414,-1.0199,1.6251,0.032755,0.0078653,0.12174,0.7299,5.3798,0.63722,0.18346,1380.1,"Q3"
"MT0000336135",5.7921,10.881,2.4284,157990,1.085,6.4323,0.06872,1.5967,0.073505,4277.3,0.41968,10.609,2.2645,10.888,0.59861,0.076612,8.5639,734.88,0.41514,12.141,0.026606,1.2777,0.35836,0.061279,1.5384,0.34961,5.2285,0.60481,5409.2,1.6116,0.077102,1.5058,0.2,0.39126,4.5124,0.093961,4.6171,3623.6,131.3,3.8364,7.4287,1022.3,1.8021,0.66542,0.53903,0.090424,480.36,0.13032,0.3261,1.7537,8,4.5696,0.24865,0.17572,0.07417,0.039986,0.12859,3.734,1.2414,4.2641,1.5275,1.3967,0.25652,0.64553,0.57143,0.15983,0.14856,3.702,0.30048,-1.5969,0.38893,0.52186,0.43243,1.2637,0.0013003,126.49,1.6904,1.6956,2.8396,0.4133,3310.6,0.23927,2.5051,2.6903,-0.60549,0,0.26454,0.1167,0.41176,0.201,0.26336,1.7093,0.22305,0.3574,0.16391,0.76018,5.8476,0.46124,0.20474,1119.7,"Q4"
